pos	freq
V1	-96	0.00699917753989607
V2	-95	0.00736650895810114
V3	-94	0.00716882924128761
V4	-93	0.00806593014353174
V5	-92	0.00748070026385006
V6	-91	0.0073683676273084
V7	-90	0.0077500718814897
V8	-89	0.00800993076934464
V9	-88	0.00796732898295846
V10	-87	0.00804235737691529
V11	-86	0.00766997497428624
V12	-85	0.00806999522980461
V13	-84	0.00763932902917987
V14	-83	0.00702257057907923
V15	-82	0.00852224426369191
V16	-81	0.00848284239363284
V17	-80	0.00800650178284629
V18	-79	0.00874306948933391
V19	-78	0.00801418106891504
V20	-77	0.00887763889183622
V21	-76	0.00844012173292408
V22	-75	0.00847175679288298
V23	-74	0.00894519541936411
V24	-73	0.00798921568111798
V25	-72	0.0081683052650505
V26	-71	0.00856668704132383
V27	-70	0.00944870858043185
V28	-69	0.00843672102436504
V29	-68	0.00834067558086062
V30	-67	0.00857865516239615
V31	-66	0.0089679878909863
V32	-65	0.00947734054246016
V33	-64	0.00914331617513187
V34	-63	0.00949660335496977
V35	-62	0.00940973765224786
V36	-61	0.00941918918229025
V37	-60	0.0103481746385148
V38	-59	0.00963834790670006
V39	-58	0.00932123429416773
V40	-57	0.00963620313685114
V41	-56	0.00904048187392659
V42	-55	0.0100942267194901
V43	-54	0.00900004821649477
V44	-53	0.0097683271064412
V45	-52	0.00946568502883259
V46	-51	0.00916022970827287
V47	-50	0.00973471083090306
V48	-49	0.00979490054827687
V49	-48	0.0113968609605944
V50	-47	0.0100653776987393
V51	-46	0.0101199925853725
V52	-45	0.0105568423771946
V53	-44	0.0104585781818752
V54	-43	0.00960051261613483
V55	-42	0.00980770225210691
V56	-41	0.0100780704796193
V57	-40	0.0109461450891307
V58	-39	0.0100653740011069
V59	-38	0.00980951842973403
V60	-37	0.0103767074138374
V61	-36	0.0107543520941071
V62	-35	0.010860453384773
V63	-34	0.0103772014173345
V64	-33	0.0100794994124114
V65	-32	0.0101733615491995
V66	-31	0.0123187339536538
V67	-30	0.0112303422932485
V68	-29	0.0105955925615502
V69	-28	0.010837807414246
V70	-27	0.0107939222815902
V71	-26	0.0117832235231054
V72	-25	0.0100151721216151
V73	-24	0.0110199189321623
V74	-23	0.0117160961795088
V75	-22	0.0113386334328557
V76	-21	0.0117089720851534
V77	-20	0.010800436691882
V78	-19	0.0111407996413994
V79	-18	0.0119226765723755
V80	-17	0.0112756370119894
V81	-16	0.0112794480410873
V82	-15	0.0113221794375182
V83	-14	0.011491656069075
V84	-13	0.0126142686294632
V85	-12	0.0115454339506644
V86	-11	0.0120533799290117
V87	-10	0.0116002904714685
V88	-9	0.00963029818897786
V89	-8	0.00972945353075049
V90	-7	0.00992221527937549
V91	-6	0.00877396040906936
V92	-5	0.0101714405232843
V93	-4	0.00710999089017891
V94	-3	0.0110425107953754
V95	-2	0.00861009033199827
V96	-1	0.0105121817757516
V97	0	0.00835436153816348
V98	0	0.0103324304951179
V99	0	0.0139143746982904
V100	0	0.0112505900017166
V101	0	0.0130170108297189
V102	0	0.0122252550268337
V103	0	0.0115641591953266
V104	0	0.0145645841646091
V105	0	0.00947235656901326
V106	1	0.00920701910413085
V107	2	0.0114616438107771
V108	3	0.00914634777214754
V109	4	0.0121060620586593
V110	5	0.00800227318617272
V111	6	0.0106719260019496
V112	7	0.00939210584039978
V113	8	0.0111511723549678
V114	9	0.0108548127566741
V115	10	0.011151347168518
V116	11	0.0111388202609048
V117	12	0.0122833484514492
V118	13	0.0140753744406793
V119	14	0.0123479774690021
V120	15	0.0118158908714293
V121	16	0.0107945912059879
V122	17	0.0132465221315802
V123	18	0.0114361224361105
V124	19	0.0129383846571255
V125	20	0.0107890338994788
V126	21	0.0116450680294843
V127	22	0.012423928183586
V128	23	0.0108349007439172
V129	24	0.0100675963031372
V130	25	0.0106360199392072
V131	26	0.0105408449169651
V132	27	0.0104624074840101
V133	28	0.0113395759405417
V134	29	0.0114212757714676
V135	30	0.0103408478907251
V136	31	0.0109046307898873
V137	32	0.0110510068241745
V138	33	0.010980898558148
V139	34	0.0102828562821835
V140	35	0.0103134963826522
V141	36	0.0109583997477365
V142	37	0.00964892092051365
V143	38	0.0113360044564607
V144	39	0.0114066574296494
V145	40	0.010300572500522
V146	41	0.00973282942532325
V147	42	0.010732465417586
V148	43	0.0100400130798678
V149	44	0.00958628420821405
V150	45	0.00863931151408473
V151	46	0.00993015765928543
V152	47	0.010390633237822
V153	48	0.0097140517340509
V154	49	0.0100579014078498
V155	50	0.00930420385587154
V156	51	0.0101618934984435
V157	52	0.00927760606333856
V158	53	0.01018636541491
V159	54	0.00964976691895168
V160	55	0.00903364331881414
V161	56	0.009280815221825
V162	57	0.00844939317485182
V163	58	0.00930321486785009
V164	59	0.00908568135382319
V165	60	0.00849954808201163
V166	61	0.00986943725740815
V167	62	0.00780514451697962
V168	63	0.00858483477425899
V169	64	0.00911276333113476
V170	65	0.00780411823212299
V171	66	0.00790129845111374
V172	67	0.00831763686102624
V173	68	0.00759977828331353
V174	69	0.00840067134704314
V175	70	0.00843783403803056
V176	71	0.00876618435061869
V177	72	0.00846481288165419
V178	73	0.00803042597446202
V179	74	0.00793766655606491
V180	75	0.00843555156779695
V181	76	0.00833044914570137
V182	77	0.00867806945324191
V183	78	0.00855587816782511
V184	79	0.00833997069708903
V185	80	0.00784824919032325
V186	81	0.00924206237095165
V187	82	0.00880077859342068
V188	83	0.00721528697618367
V189	84	0.00884878997597244
V190	85	0.00697494835501366
V191	86	0.00787419959384713
V192	87	0.00707838904568803
V193	88	0.00679106904026918
V194	89	0.00832527757135031
V195	90	0.00772936744064951
V196	91	0.00741315087463658
V197	92	0.00773629027261864
V198	93	0.00754200459181063
V199	94	0.00724105376059254
V200	95	0.00738463281901766
